Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,현대
KIA,0.0,1.0,0.5,-4.5,5.5,-4.0,0.0,-6.5
LG,-1.0,0.0,-0.5,-5.5,4.5,-5.0,-1.0,-7.5
SK,-0.5,0.5,0.0,-5.0,5.0,-4.5,-0.5,-7.0
두산,4.5,5.5,5.0,0.0,10.0,0.5,4.5,-2.0
롯데,-5.5,-4.5,-5.0,-10.0,0.0,-9.5,-5.5,-12.0
삼성,4.0,5.0,4.5,-0.5,9.5,0.0,4.0,-2.5
한화,0.0,1.0,0.5,-4.5,5.5,-4.0,0.0,-6.5
현대,6.5,7.5,7.0,2.0,12.0,2.5,6.5,0.0
