Team1_x,KIA,LG,NC,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,0.0,6.0,3.0,2.0,0.5,3.5,1.0,9.0
LG,0.0,0.0,6.0,3.0,2.0,0.5,3.5,1.0,9.0
NC,-6.0,-6.0,0.0,-3.0,-4.0,-5.5,-2.5,-5.0,3.0
SK,-3.0,-3.0,3.0,0.0,-1.0,-2.5,0.5,-2.0,6.0
넥센,-2.0,-2.0,4.0,1.0,0.0,-1.5,1.5,-1.0,7.0
두산,-0.5,-0.5,5.5,2.5,1.5,0.0,3.0,0.5,8.5
롯데,-3.5,-3.5,2.5,-0.5,-1.5,-3.0,0.0,-2.5,5.5
삼성,-1.0,-1.0,5.0,2.0,1.0,-0.5,2.5,0.0,8.0
한화,-9.0,-9.0,-3.0,-6.0,-7.0,-8.5,-5.5,-8.0,0.0
