Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-1.0,-6.0,-2.5,2.5,-3.0,-12.0,0.5,-0.5,6.0
LG,1.0,0.0,-5.0,-1.5,3.5,-2.0,-11.0,1.5,0.5,7.0
NC,6.0,5.0,0.0,3.5,8.5,3.0,-6.0,6.5,5.5,12.0
SK,2.5,1.5,-3.5,0.0,5.0,-0.5,-9.5,3.0,2.0,8.5
kt,-2.5,-3.5,-8.5,-5.0,0.0,-5.5,-14.5,-2.0,-3.0,3.5
넥센,3.0,2.0,-3.0,0.5,5.5,0.0,-9.0,3.5,2.5,9.0
두산,12.0,11.0,6.0,9.5,14.5,9.0,0.0,12.5,11.5,18.0
롯데,-0.5,-1.5,-6.5,-3.0,2.0,-3.5,-12.5,0.0,-1.0,5.5
삼성,0.5,-0.5,-5.5,-2.0,3.0,-2.5,-11.5,1.0,0.0,6.5
한화,-6.0,-7.0,-12.0,-8.5,-3.5,-9.0,-18.0,-5.5,-6.5,0.0
