Team1_x,LG,SK,두산,롯데,삼성,한화,해태,현대
LG,0.0,6.0,-6.0,0.0,-3.0,2.0,1.0,-8.0
SK,-6.0,0.0,-12.0,-6.0,-9.0,-4.0,-5.0,-14.0
두산,6.0,12.0,0.0,6.0,3.0,8.0,7.0,-2.0
롯데,0.0,6.0,-6.0,0.0,-3.0,2.0,1.0,-8.0
삼성,3.0,9.0,-3.0,3.0,0.0,5.0,4.0,-5.0
한화,-2.0,4.0,-8.0,-2.0,-5.0,0.0,-1.0,-10.0
해태,-1.0,5.0,-7.0,-1.0,-4.0,1.0,0.0,-9.0
현대,8.0,14.0,2.0,8.0,5.0,10.0,9.0,0.0
