Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,0.0,-13.5,-1.5,10.5,-10.0,-18.0,3.5,5.0,4.0
LG,0.0,0.0,-13.5,-1.5,10.5,-10.0,-18.0,3.5,5.0,4.0
NC,13.5,13.5,0.0,12.0,24.0,3.5,-4.5,17.0,18.5,17.5
SK,1.5,1.5,-12.0,0.0,12.0,-8.5,-16.5,5.0,6.5,5.5
kt,-10.5,-10.5,-24.0,-12.0,0.0,-20.5,-28.5,-7.0,-5.5,-6.5
넥센,10.0,10.0,-3.5,8.5,20.5,0.0,-8.0,13.5,15.0,14.0
두산,18.0,18.0,4.5,16.5,28.5,8.0,0.0,21.5,23.0,22.0
롯데,-3.5,-3.5,-17.0,-5.0,7.0,-13.5,-21.5,0.0,1.5,0.5
삼성,-5.0,-5.0,-18.5,-6.5,5.5,-15.0,-23.0,-1.5,0.0,-1.0
한화,-4.0,-4.0,-17.5,-5.5,6.5,-14.0,-22.0,-0.5,1.0,0.0
