Team1_x,KIA,LG,NC,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,-9.0,7.5,2.5,-6.5,-5.0,-3.0,-12.0,15.5
LG,9.0,0.0,16.5,11.5,2.5,4.0,6.0,-3.0,24.5
NC,-7.5,-16.5,0.0,-5.0,-14.0,-12.5,-10.5,-19.5,8.0
SK,-2.5,-11.5,5.0,0.0,-9.0,-7.5,-5.5,-14.5,13.0
넥센,6.5,-2.5,14.0,9.0,0.0,1.5,3.5,-5.5,22.0
두산,5.0,-4.0,12.5,7.5,-1.5,0.0,2.0,-7.0,20.5
롯데,3.0,-6.0,10.5,5.5,-3.5,-2.0,0.0,-9.0,18.5
삼성,12.0,3.0,19.5,14.5,5.5,7.0,9.0,0.0,27.5
한화,-15.5,-24.5,-8.0,-13.0,-22.0,-20.5,-18.5,-27.5,0.0
