Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,0.0,-2.5,-2.0,1.0,-1.5,-5.5,1.0,1.0,8.0
LG,0.0,0.0,-2.5,-2.0,1.0,-1.5,-5.5,1.0,1.0,8.0
NC,2.5,2.5,0.0,0.5,3.5,1.0,-3.0,3.5,3.5,10.5
SK,2.0,2.0,-0.5,0.0,3.0,0.5,-3.5,3.0,3.0,10.0
kt,-1.0,-1.0,-3.5,-3.0,0.0,-2.5,-6.5,0.0,0.0,7.0
넥센,1.5,1.5,-1.0,-0.5,2.5,0.0,-4.0,2.5,2.5,9.5
두산,5.5,5.5,3.0,3.5,6.5,4.0,0.0,6.5,6.5,13.5
롯데,-1.0,-1.0,-3.5,-3.0,0.0,-2.5,-6.5,0.0,0.0,7.0
삼성,-1.0,-1.0,-3.5,-3.0,0.0,-2.5,-6.5,0.0,0.0,7.0
한화,-8.0,-8.0,-10.5,-10.0,-7.0,-9.5,-13.5,-7.0,-7.0,0.0
