Team1_x,MBC,OB,롯데,빙그레,삼성,태평양,해태
MBC,0.0,-7.5,-3.0,-23.5,-11.5,-11.0,-18.5
OB,7.5,0.0,4.5,-16.0,-4.0,-3.5,-11.0
롯데,3.0,-4.5,0.0,-20.5,-8.5,-8.0,-15.5
빙그레,23.5,16.0,20.5,0.0,12.0,12.5,5.0
삼성,11.5,4.0,8.5,-12.0,0.0,0.5,-7.0
태평양,11.0,3.5,8.0,-12.5,-0.5,0.0,-7.5
해태,18.5,11.0,15.5,-5.0,7.0,7.5,0.0
