Team1_x,LG,SK,두산,롯데,삼성,한화,해태,현대
LG,0.0,20.5,-10.5,0.0,-7.0,6.5,4.5,-14.0
SK,-20.5,0.0,-31.0,-20.5,-27.5,-14.0,-16.0,-34.5
두산,10.5,31.0,0.0,10.5,3.5,17.0,15.0,-3.5
롯데,0.0,20.5,-10.5,0.0,-7.0,6.5,4.5,-14.0
삼성,7.0,27.5,-3.5,7.0,0.0,13.5,11.5,-7.0
한화,-6.5,14.0,-17.0,-6.5,-13.5,0.0,-2.0,-20.5
해태,-4.5,16.0,-15.0,-4.5,-11.5,2.0,0.0,-18.5
현대,14.0,34.5,3.5,14.0,7.0,20.5,18.5,0.0
