Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,3.5,-4.5,-1.5,14.0,-3.5,-5.0,1.0,-5.0,-3.0
LG,-3.5,0.0,-8.0,-5.0,10.5,-7.0,-8.5,-2.5,-8.5,-6.5
NC,4.5,8.0,0.0,3.0,18.5,1.0,-0.5,5.5,-0.5,1.5
SK,1.5,5.0,-3.0,0.0,15.5,-2.0,-3.5,2.5,-3.5,-1.5
kt,-14.0,-10.5,-18.5,-15.5,0.0,-17.5,-19.0,-13.0,-19.0,-17.0
넥센,3.5,7.0,-1.0,2.0,17.5,0.0,-1.5,4.5,-1.5,0.5
두산,5.0,8.5,0.5,3.5,19.0,1.5,0.0,6.0,0.0,2.0
롯데,-1.0,2.5,-5.5,-2.5,13.0,-4.5,-6.0,0.0,-6.0,-4.0
삼성,5.0,8.5,0.5,3.5,19.0,1.5,0.0,6.0,0.0,2.0
한화,3.0,6.5,-1.5,1.5,17.0,-0.5,-2.0,4.0,-2.0,0.0
