Team1_x,KIA,LG,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,8.5,-1.0,17.0,9.0,-1.5,-10.0,10.0
LG,-8.5,0.0,-9.5,8.5,0.5,-10.0,-18.5,1.5
SK,1.0,9.5,0.0,18.0,10.0,-0.5,-9.0,11.0
넥센,-17.0,-8.5,-18.0,0.0,-8.0,-18.5,-27.0,-7.0
두산,-9.0,-0.5,-10.0,8.0,0.0,-10.5,-19.0,1.0
롯데,1.5,10.0,0.5,18.5,10.5,0.0,-8.5,11.5
삼성,10.0,18.5,9.0,27.0,19.0,8.5,0.0,20.0
한화,-10.0,-1.5,-11.0,7.0,-1.0,-11.5,-20.0,0.0
