Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,6.5,-8.0,2.0,19.0,-4.5,-7.0,5.0,-12.0,-1.0
LG,-6.5,0.0,-14.5,-4.5,12.5,-11.0,-13.5,-1.5,-18.5,-7.5
NC,8.0,14.5,0.0,10.0,27.0,3.5,1.0,13.0,-4.0,7.0
SK,-2.0,4.5,-10.0,0.0,17.0,-6.5,-9.0,3.0,-14.0,-3.0
kt,-19.0,-12.5,-27.0,-17.0,0.0,-23.5,-26.0,-14.0,-31.0,-20.0
넥센,4.5,11.0,-3.5,6.5,23.5,0.0,-2.5,9.5,-7.5,3.5
두산,7.0,13.5,-1.0,9.0,26.0,2.5,0.0,12.0,-5.0,6.0
롯데,-5.0,1.5,-13.0,-3.0,14.0,-9.5,-12.0,0.0,-17.0,-6.0
삼성,12.0,18.5,4.0,14.0,31.0,7.5,5.0,17.0,0.0,11.0
한화,1.0,7.5,-7.0,3.0,20.0,-3.5,-6.0,6.0,-11.0,0.0
