Team1_x,LG,OB,롯데,빙그레,삼성,쌍방울,태평양,해태
LG,0.0,7.0,7.5,11.5,3.5,13.5,17.0,-4.0
OB,-7.0,0.0,0.5,4.5,-3.5,6.5,10.0,-11.0
롯데,-7.5,-0.5,0.0,4.0,-4.0,6.0,9.5,-11.5
빙그레,-11.5,-4.5,-4.0,0.0,-8.0,2.0,5.5,-15.5
삼성,-3.5,3.5,4.0,8.0,0.0,10.0,13.5,-7.5
쌍방울,-13.5,-6.5,-6.0,-2.0,-10.0,0.0,3.5,-17.5
태평양,-17.0,-10.0,-9.5,-5.5,-13.5,-3.5,0.0,-21.0
해태,4.0,11.0,11.5,15.5,7.5,17.5,21.0,0.0
