Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.5,-7.0,-2.0,14.0,-6.5,-8.0,2.0,-10.0,-4.0
LG,-2.5,0.0,-9.5,-4.5,11.5,-9.0,-10.5,-0.5,-12.5,-6.5
NC,7.0,9.5,0.0,5.0,21.0,0.5,-1.0,9.0,-3.0,3.0
SK,2.0,4.5,-5.0,0.0,16.0,-4.5,-6.0,4.0,-8.0,-2.0
kt,-14.0,-11.5,-21.0,-16.0,0.0,-20.5,-22.0,-12.0,-24.0,-18.0
넥센,6.5,9.0,-0.5,4.5,20.5,0.0,-1.5,8.5,-3.5,2.5
두산,8.0,10.5,1.0,6.0,22.0,1.5,0.0,10.0,-2.0,4.0
롯데,-2.0,0.5,-9.0,-4.0,12.0,-8.5,-10.0,0.0,-12.0,-6.0
삼성,10.0,12.5,3.0,8.0,24.0,3.5,2.0,12.0,0.0,6.0
한화,4.0,6.5,-3.0,2.0,18.0,-2.5,-4.0,6.0,-6.0,0.0
