Team1_x,LG,OB,롯데,빙그레,삼성,쌍방울,태평양,해태
LG,0.0,-5.0,-6.0,-16.5,-7.5,2.5,-1.5,-14.0
OB,5.0,0.0,-1.0,-11.5,-2.5,7.5,3.5,-9.0
롯데,6.0,1.0,0.0,-10.5,-1.5,8.5,4.5,-8.0
빙그레,16.5,11.5,10.5,0.0,9.0,19.0,15.0,2.5
삼성,7.5,2.5,1.5,-9.0,0.0,10.0,6.0,-6.5
쌍방울,-2.5,-7.5,-8.5,-19.0,-10.0,0.0,-4.0,-16.5
태평양,1.5,-3.5,-4.5,-15.0,-6.0,4.0,0.0,-12.5
해태,14.0,9.0,8.0,-2.5,6.5,16.5,12.5,0.0
