Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.0,-11.5,-0.5,10.5,-7.0,-15.0,4.5,5.0,4.0
LG,-2.0,0.0,-13.5,-2.5,8.5,-9.0,-17.0,2.5,3.0,2.0
NC,11.5,13.5,0.0,11.0,22.0,4.5,-3.5,16.0,16.5,15.5
SK,0.5,2.5,-11.0,0.0,11.0,-6.5,-14.5,5.0,5.5,4.5
kt,-10.5,-8.5,-22.0,-11.0,0.0,-17.5,-25.5,-6.0,-5.5,-6.5
넥센,7.0,9.0,-4.5,6.5,17.5,0.0,-8.0,11.5,12.0,11.0
두산,15.0,17.0,3.5,14.5,25.5,8.0,0.0,19.5,20.0,19.0
롯데,-4.5,-2.5,-16.0,-5.0,6.0,-11.5,-19.5,0.0,0.5,-0.5
삼성,-5.0,-3.0,-16.5,-5.5,5.5,-12.0,-20.0,-0.5,0.0,-1.0
한화,-4.0,-2.0,-15.5,-4.5,6.5,-11.0,-19.0,0.5,1.0,0.0
