Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.0,-12.5,-2.5,3.5,-4.0,-17.0,0.5,2.5,4.5
LG,-1.0,0.0,-13.5,-3.5,2.5,-5.0,-18.0,-0.5,1.5,3.5
NC,12.5,13.5,0.0,10.0,16.0,8.5,-4.5,13.0,15.0,17.0
SK,2.5,3.5,-10.0,0.0,6.0,-1.5,-14.5,3.0,5.0,7.0
kt,-3.5,-2.5,-16.0,-6.0,0.0,-7.5,-20.5,-3.0,-1.0,1.0
넥센,4.0,5.0,-8.5,1.5,7.5,0.0,-13.0,4.5,6.5,8.5
두산,17.0,18.0,4.5,14.5,20.5,13.0,0.0,17.5,19.5,21.5
롯데,-0.5,0.5,-13.0,-3.0,3.0,-4.5,-17.5,0.0,2.0,4.0
삼성,-2.5,-1.5,-15.0,-5.0,1.0,-6.5,-19.5,-2.0,0.0,2.0
한화,-4.5,-3.5,-17.0,-7.0,-1.0,-8.5,-21.5,-4.0,-2.0,0.0
