Team1_x,LG,OB,롯데,삼성,쌍방울,태평양,한화,해태
LG,0.0,0.0,7.5,9.5,13.0,14.0,7.5,11.5
OB,0.0,0.0,7.5,9.5,13.0,14.0,7.5,11.5
롯데,-7.5,-7.5,0.0,2.0,5.5,6.5,0.0,4.0
삼성,-9.5,-9.5,-2.0,0.0,3.5,4.5,-2.0,2.0
쌍방울,-13.0,-13.0,-5.5,-3.5,0.0,1.0,-5.5,-1.5
태평양,-14.0,-14.0,-6.5,-4.5,-1.0,0.0,-6.5,-2.5
한화,-7.5,-7.5,0.0,2.0,5.5,6.5,0.0,4.0
해태,-11.5,-11.5,-4.0,-2.0,1.5,2.5,-4.0,0.0
