Team1_x,LG,OB,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,3.5,-2.0,-2.5,-5.5,-8.0,-14.0,-11.0
OB,-3.5,0.0,-5.5,-6.0,-9.0,-11.5,-17.5,-14.5
롯데,2.0,5.5,0.0,-0.5,-3.5,-6.0,-12.0,-9.0
삼성,2.5,6.0,0.5,0.0,-3.0,-5.5,-11.5,-8.5
쌍방울,5.5,9.0,3.5,3.0,0.0,-2.5,-8.5,-5.5
한화,8.0,11.5,6.0,5.5,2.5,0.0,-6.0,-3.0
해태,14.0,17.5,12.0,11.5,8.5,6.0,0.0,3.0
현대,11.0,14.5,9.0,8.5,5.5,3.0,-3.0,0.0
