Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-1.0,-2.5,-3.0,0.0,-1.5,-6.5,0.0,0.0,8.0
LG,1.0,0.0,-1.5,-2.0,1.0,-0.5,-5.5,1.0,1.0,9.0
NC,2.5,1.5,0.0,-0.5,2.5,1.0,-4.0,2.5,2.5,10.5
SK,3.0,2.0,0.5,0.0,3.0,1.5,-3.5,3.0,3.0,11.0
kt,0.0,-1.0,-2.5,-3.0,0.0,-1.5,-6.5,0.0,0.0,8.0
넥센,1.5,0.5,-1.0,-1.5,1.5,0.0,-5.0,1.5,1.5,9.5
두산,6.5,5.5,4.0,3.5,6.5,5.0,0.0,6.5,6.5,14.5
롯데,0.0,-1.0,-2.5,-3.0,0.0,-1.5,-6.5,0.0,0.0,8.0
삼성,0.0,-1.0,-2.5,-3.0,0.0,-1.5,-6.5,0.0,0.0,8.0
한화,-8.0,-9.0,-10.5,-11.0,-8.0,-9.5,-14.5,-8.0,-8.0,0.0
