Team1_x,MBC,OB,롯데,빙그레,삼성,태평양,해태
MBC,0.0,-2.0,3.5,-11.0,-6.0,-4.5,-10.5
OB,2.0,0.0,5.5,-9.0,-4.0,-2.5,-8.5
롯데,-3.5,-5.5,0.0,-14.5,-9.5,-8.0,-14.0
빙그레,11.0,9.0,14.5,0.0,5.0,6.5,0.5
삼성,6.0,4.0,9.5,-5.0,0.0,1.5,-4.5
태평양,4.5,2.5,8.0,-6.5,-1.5,0.0,-6.0
해태,10.5,8.5,14.0,-0.5,4.5,6.0,0.0
