Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,3.0,-11.5,0.5,8.5,-7.0,-14.0,1.5,6.0,3.0
LG,-3.0,0.0,-14.5,-2.5,5.5,-10.0,-17.0,-1.5,3.0,0.0
NC,11.5,14.5,0.0,12.0,20.0,4.5,-2.5,13.0,17.5,14.5
SK,-0.5,2.5,-12.0,0.0,8.0,-7.5,-14.5,1.0,5.5,2.5
kt,-8.5,-5.5,-20.0,-8.0,0.0,-15.5,-22.5,-7.0,-2.5,-5.5
넥센,7.0,10.0,-4.5,7.5,15.5,0.0,-7.0,8.5,13.0,10.0
두산,14.0,17.0,2.5,14.5,22.5,7.0,0.0,15.5,20.0,17.0
롯데,-1.5,1.5,-13.0,-1.0,7.0,-8.5,-15.5,0.0,4.5,1.5
삼성,-6.0,-3.0,-17.5,-5.5,2.5,-13.0,-20.0,-4.5,0.0,-3.0
한화,-3.0,0.0,-14.5,-2.5,5.5,-10.0,-17.0,-1.5,3.0,0.0
