Team1_x,MBC,OB,롯데,빙그레,삼성,태평양,해태
MBC,0.0,-9.0,-5.5,-21.5,-12.5,-12.0,-19.5
OB,9.0,0.0,3.5,-12.5,-3.5,-3.0,-10.5
롯데,5.5,-3.5,0.0,-16.0,-7.0,-6.5,-14.0
빙그레,21.5,12.5,16.0,0.0,9.0,9.5,2.0
삼성,12.5,3.5,7.0,-9.0,0.0,0.5,-7.0
태평양,12.0,3.0,6.5,-9.5,-0.5,0.0,-7.5
해태,19.5,10.5,14.0,-2.0,7.0,7.5,0.0
