Team1_x,LG,OB,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-1.0,2.0,-1.0,-2.5,-3.0,-3.0,-6.5
OB,1.0,0.0,3.0,0.0,-1.5,-2.0,-2.0,-5.5
롯데,-2.0,-3.0,0.0,-3.0,-4.5,-5.0,-5.0,-8.5
삼성,1.0,0.0,3.0,0.0,-1.5,-2.0,-2.0,-5.5
쌍방울,2.5,1.5,4.5,1.5,0.0,-0.5,-0.5,-4.0
한화,3.0,2.0,5.0,2.0,0.5,0.0,0.0,-3.5
해태,3.0,2.0,5.0,2.0,0.5,0.0,0.0,-3.5
현대,6.5,5.5,8.5,5.5,4.0,3.5,3.5,0.0
