Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,현대
KIA,0.0,-2.5,-6.0,12.5,7.5,-6.5,1.0,-5.0
LG,2.5,0.0,-3.5,15.0,10.0,-4.0,3.5,-2.5
SK,6.0,3.5,0.0,18.5,13.5,-0.5,7.0,1.0
두산,-12.5,-15.0,-18.5,0.0,-5.0,-19.0,-11.5,-17.5
롯데,-7.5,-10.0,-13.5,5.0,0.0,-14.0,-6.5,-12.5
삼성,6.5,4.0,0.5,19.0,14.0,0.0,7.5,1.5
한화,-1.0,-3.5,-7.0,11.5,6.5,-7.5,0.0,-6.0
현대,5.0,2.5,-1.0,17.5,12.5,-1.5,6.0,0.0
