Team1_x,KIA,LG,NC,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,3.5,-11.0,1.0,-7.5,-3.0,-5.5,-14.0,5.5
LG,-3.5,0.0,-14.5,-2.5,-11.0,-6.5,-9.0,-17.5,2.0
NC,11.0,14.5,0.0,12.0,3.5,8.0,5.5,-3.0,16.5
SK,-1.0,2.5,-12.0,0.0,-8.5,-4.0,-6.5,-15.0,4.5
넥센,7.5,11.0,-3.5,8.5,0.0,4.5,2.0,-6.5,13.0
두산,3.0,6.5,-8.0,4.0,-4.5,0.0,-2.5,-11.0,8.5
롯데,5.5,9.0,-5.5,6.5,-2.0,2.5,0.0,-8.5,11.0
삼성,14.0,17.5,3.0,15.0,6.5,11.0,8.5,0.0,19.5
한화,-5.5,-2.0,-16.5,-4.5,-13.0,-8.5,-11.0,-19.5,0.0
