Team1_x,LG,두산,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-5.5,-12.5,-4.0,22.5,0.0,1.0,-4.5
두산,5.5,0.0,-7.0,1.5,28.0,5.5,6.5,1.0
롯데,12.5,7.0,0.0,8.5,35.0,12.5,13.5,8.0
삼성,4.0,-1.5,-8.5,0.0,26.5,4.0,5.0,-0.5
쌍방울,-22.5,-28.0,-35.0,-26.5,0.0,-22.5,-21.5,-27.0
한화,0.0,-5.5,-12.5,-4.0,22.5,0.0,1.0,-4.5
해태,-1.0,-6.5,-13.5,-5.0,21.5,-1.0,0.0,-5.5
현대,4.5,-1.0,-8.0,0.5,27.0,4.5,5.5,0.0
