Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,3.0,-10.5,1.5,12.5,-9.0,-18.0,5.5,7.0,5.0
LG,-3.0,0.0,-13.5,-1.5,9.5,-12.0,-21.0,2.5,4.0,2.0
NC,10.5,13.5,0.0,12.0,23.0,1.5,-7.5,16.0,17.5,15.5
SK,-1.5,1.5,-12.0,0.0,11.0,-10.5,-19.5,4.0,5.5,3.5
kt,-12.5,-9.5,-23.0,-11.0,0.0,-21.5,-30.5,-7.0,-5.5,-7.5
넥센,9.0,12.0,-1.5,10.5,21.5,0.0,-9.0,14.5,16.0,14.0
두산,18.0,21.0,7.5,19.5,30.5,9.0,0.0,23.5,25.0,23.0
롯데,-5.5,-2.5,-16.0,-4.0,7.0,-14.5,-23.5,0.0,1.5,-0.5
삼성,-7.0,-4.0,-17.5,-5.5,5.5,-16.0,-25.0,-1.5,0.0,-2.0
한화,-5.0,-2.0,-15.5,-3.5,7.5,-14.0,-23.0,0.5,2.0,0.0
