Team1_x,KIA,LG,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,-4.5,-24.0,2.0,-14.5,-6.5,-14.5,3.0
LG,4.5,0.0,-19.5,6.5,-10.0,-2.0,-10.0,7.5
SK,24.0,19.5,0.0,26.0,9.5,17.5,9.5,27.0
넥센,-2.0,-6.5,-26.0,0.0,-16.5,-8.5,-16.5,1.0
두산,14.5,10.0,-9.5,16.5,0.0,8.0,0.0,17.5
롯데,6.5,2.0,-17.5,8.5,-8.0,0.0,-8.0,9.5
삼성,14.5,10.0,-9.5,16.5,0.0,8.0,0.0,17.5
한화,-3.0,-7.5,-27.0,-1.0,-17.5,-9.5,-17.5,0.0
