Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.5,-1.5,-4.0,11.0,-2.0,-4.0,1.0,-5.0,-1.0
LG,-1.5,0.0,-3.0,-5.5,9.5,-3.5,-5.5,-0.5,-6.5,-2.5
NC,1.5,3.0,0.0,-2.5,12.5,-0.5,-2.5,2.5,-3.5,0.5
SK,4.0,5.5,2.5,0.0,15.0,2.0,0.0,5.0,-1.0,3.0
kt,-11.0,-9.5,-12.5,-15.0,0.0,-13.0,-15.0,-10.0,-16.0,-12.0
넥센,2.0,3.5,0.5,-2.0,13.0,0.0,-2.0,3.0,-3.0,1.0
두산,4.0,5.5,2.5,0.0,15.0,2.0,0.0,5.0,-1.0,3.0
롯데,-1.0,0.5,-2.5,-5.0,10.0,-3.0,-5.0,0.0,-6.0,-2.0
삼성,5.0,6.5,3.5,1.0,16.0,3.0,1.0,6.0,0.0,4.0
한화,1.0,2.5,-0.5,-3.0,12.0,-1.0,-3.0,2.0,-4.0,0.0
