Team1_x,LG,두산,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,3.0,1.5,2.0,12.0,7.0,7.0,3.5
두산,-3.0,0.0,-1.5,-1.0,9.0,4.0,4.0,0.5
롯데,-1.5,1.5,0.0,0.5,10.5,5.5,5.5,2.0
삼성,-2.0,1.0,-0.5,0.0,10.0,5.0,5.0,1.5
쌍방울,-12.0,-9.0,-10.5,-10.0,0.0,-5.0,-5.0,-8.5
한화,-7.0,-4.0,-5.5,-5.0,5.0,0.0,0.0,-3.5
해태,-7.0,-4.0,-5.5,-5.0,5.0,0.0,0.0,-3.5
현대,-3.5,-0.5,-2.0,-1.5,8.5,3.5,3.5,0.0
