Team1_x,KIA,LG,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,1.5,-8.0,4.0,-3.5,3.0,-2.0,7.0
LG,-1.5,0.0,-9.5,2.5,-5.0,1.5,-3.5,5.5
SK,8.0,9.5,0.0,12.0,4.5,11.0,6.0,15.0
넥센,-4.0,-2.5,-12.0,0.0,-7.5,-1.0,-6.0,3.0
두산,3.5,5.0,-4.5,7.5,0.0,6.5,1.5,10.5
롯데,-3.0,-1.5,-11.0,1.0,-6.5,0.0,-5.0,4.0
삼성,2.0,3.5,-6.0,6.0,-1.5,5.0,0.0,9.0
한화,-7.0,-5.5,-15.0,-3.0,-10.5,-4.0,-9.0,0.0
