Team1_x,MBC,OB,롯데,빙그레,삼성,태평양,해태
MBC,0.0,-9.5,-3.0,-25.5,-11.5,-13.0,-21.0
OB,9.5,0.0,6.5,-16.0,-2.0,-3.5,-11.5
롯데,3.0,-6.5,0.0,-22.5,-8.5,-10.0,-18.0
빙그레,25.5,16.0,22.5,0.0,14.0,12.5,4.5
삼성,11.5,2.0,8.5,-14.0,0.0,-1.5,-9.5
태평양,13.0,3.5,10.0,-12.5,1.5,0.0,-8.0
해태,21.0,11.5,18.0,-4.5,9.5,8.0,0.0
