Team1_x,LG,OB,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,4.0,12.5,3.0,7.5,14.5,2.5,12.0
OB,-4.0,0.0,8.5,-1.0,3.5,10.5,-1.5,8.0
롯데,-12.5,-8.5,0.0,-9.5,-5.0,2.0,-10.0,-0.5
삼성,-3.0,1.0,9.5,0.0,4.5,11.5,-0.5,9.0
쌍방울,-7.5,-3.5,5.0,-4.5,0.0,7.0,-5.0,4.5
한화,-14.5,-10.5,-2.0,-11.5,-7.0,0.0,-12.0,-2.5
해태,-2.5,1.5,10.0,0.5,5.0,12.0,0.0,9.5
현대,-12.0,-8.0,0.5,-9.0,-4.5,2.5,-9.5,0.0
