Team1_x,LG,두산,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-4.0,-10.0,-3.0,19.5,2.0,3.0,-1.5
두산,4.0,0.0,-6.0,1.0,23.5,6.0,7.0,2.5
롯데,10.0,6.0,0.0,7.0,29.5,12.0,13.0,8.5
삼성,3.0,-1.0,-7.0,0.0,22.5,5.0,6.0,1.5
쌍방울,-19.5,-23.5,-29.5,-22.5,0.0,-17.5,-16.5,-21.0
한화,-2.0,-6.0,-12.0,-5.0,17.5,0.0,1.0,-3.5
해태,-3.0,-7.0,-13.0,-6.0,16.5,-1.0,0.0,-4.5
현대,1.5,-2.5,-8.5,-1.5,21.0,3.5,4.5,0.0
