Team1_x,MBC,OB,롯데,빙그레,삼성,태평양,해태
MBC,0.0,-3.5,1.0,-13.0,-7.0,-6.5,-13.0
OB,3.5,0.0,4.5,-9.5,-3.5,-3.0,-9.5
롯데,-1.0,-4.5,0.0,-14.0,-8.0,-7.5,-14.0
빙그레,13.0,9.5,14.0,0.0,6.0,6.5,0.0
삼성,7.0,3.5,8.0,-6.0,0.0,0.5,-6.0
태평양,6.5,3.0,7.5,-6.5,-0.5,0.0,-6.5
해태,13.0,9.5,14.0,0.0,6.0,6.5,0.0
