Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,현대
KIA,0.0,1.5,-0.5,2.5,4.0,3.0,0.0,-2.5
LG,-1.5,0.0,-2.0,1.0,2.5,1.5,-1.5,-4.0
SK,0.5,2.0,0.0,3.0,4.5,3.5,0.5,-2.0
두산,-2.5,-1.0,-3.0,0.0,1.5,0.5,-2.5,-5.0
롯데,-4.0,-2.5,-4.5,-1.5,0.0,-1.0,-4.0,-6.5
삼성,-3.0,-1.5,-3.5,-0.5,1.0,0.0,-3.0,-5.5
한화,0.0,1.5,-0.5,2.5,4.0,3.0,0.0,-2.5
현대,2.5,4.0,2.0,5.0,6.5,5.5,2.5,0.0
