Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.0,-1.5,-4.0,10.0,-2.0,-5.0,1.0,-5.0,-1.0
LG,-2.0,0.0,-3.5,-6.0,8.0,-4.0,-7.0,-1.0,-7.0,-3.0
NC,1.5,3.5,0.0,-2.5,11.5,-0.5,-3.5,2.5,-3.5,0.5
SK,4.0,6.0,2.5,0.0,14.0,2.0,-1.0,5.0,-1.0,3.0
kt,-10.0,-8.0,-11.5,-14.0,0.0,-12.0,-15.0,-9.0,-15.0,-11.0
넥센,2.0,4.0,0.5,-2.0,12.0,0.0,-3.0,3.0,-3.0,1.0
두산,5.0,7.0,3.5,1.0,15.0,3.0,0.0,6.0,0.0,4.0
롯데,-1.0,1.0,-2.5,-5.0,9.0,-3.0,-6.0,0.0,-6.0,-2.0
삼성,5.0,7.0,3.5,1.0,15.0,3.0,0.0,6.0,0.0,4.0
한화,1.0,3.0,-0.5,-3.0,11.0,-1.0,-4.0,2.0,-4.0,0.0
