Team1_x,LG,OB,롯데,삼성,쌍방울,태평양,한화,해태
LG,0.0,5.5,8.5,12.5,26.0,20.0,16.0,11.5
OB,-5.5,0.0,3.0,7.0,20.5,14.5,10.5,6.0
롯데,-8.5,-3.0,0.0,4.0,17.5,11.5,7.5,3.0
삼성,-12.5,-7.0,-4.0,0.0,13.5,7.5,3.5,-1.0
쌍방울,-26.0,-20.5,-17.5,-13.5,0.0,-6.0,-10.0,-14.5
태평양,-20.0,-14.5,-11.5,-7.5,6.0,0.0,-4.0,-8.5
한화,-16.0,-10.5,-7.5,-3.5,10.0,4.0,0.0,-4.5
해태,-11.5,-6.0,-3.0,1.0,14.5,8.5,4.5,0.0
