Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.5,-8.0,-3.0,13.0,-5.5,-8.0,1.0,-9.0,-4.0
LG,-2.5,0.0,-10.5,-5.5,10.5,-8.0,-10.5,-1.5,-11.5,-6.5
NC,8.0,10.5,0.0,5.0,21.0,2.5,0.0,9.0,-1.0,4.0
SK,3.0,5.5,-5.0,0.0,16.0,-2.5,-5.0,4.0,-6.0,-1.0
kt,-13.0,-10.5,-21.0,-16.0,0.0,-18.5,-21.0,-12.0,-22.0,-17.0
넥센,5.5,8.0,-2.5,2.5,18.5,0.0,-2.5,6.5,-3.5,1.5
두산,8.0,10.5,0.0,5.0,21.0,2.5,0.0,9.0,-1.0,4.0
롯데,-1.0,1.5,-9.0,-4.0,12.0,-6.5,-9.0,0.0,-10.0,-5.0
삼성,9.0,11.5,1.0,6.0,22.0,3.5,1.0,10.0,0.0,5.0
한화,4.0,6.5,-4.0,1.0,17.0,-1.5,-4.0,5.0,-5.0,0.0
