Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,5.5,-8.0,1.0,18.0,-4.5,-7.0,5.0,-12.0,-2.0
LG,-5.5,0.0,-13.5,-4.5,12.5,-10.0,-12.5,-0.5,-17.5,-7.5
NC,8.0,13.5,0.0,9.0,26.0,3.5,1.0,13.0,-4.0,6.0
SK,-1.0,4.5,-9.0,0.0,17.0,-5.5,-8.0,4.0,-13.0,-3.0
kt,-18.0,-12.5,-26.0,-17.0,0.0,-22.5,-25.0,-13.0,-30.0,-20.0
넥센,4.5,10.0,-3.5,5.5,22.5,0.0,-2.5,9.5,-7.5,2.5
두산,7.0,12.5,-1.0,8.0,25.0,2.5,0.0,12.0,-5.0,5.0
롯데,-5.0,0.5,-13.0,-4.0,13.0,-9.5,-12.0,0.0,-17.0,-7.0
삼성,12.0,17.5,4.0,13.0,30.0,7.5,5.0,17.0,0.0,10.0
한화,2.0,7.5,-6.0,3.0,20.0,-2.5,-5.0,7.0,-10.0,0.0
