Team1_x,MBC,OB,롯데,빙그레,삼성,태평양,해태
MBC,0.0,-8.5,-2.0,-24.5,-11.5,-13.0,-20.0
OB,8.5,0.0,6.5,-16.0,-3.0,-4.5,-11.5
롯데,2.0,-6.5,0.0,-22.5,-9.5,-11.0,-18.0
빙그레,24.5,16.0,22.5,0.0,13.0,11.5,4.5
삼성,11.5,3.0,9.5,-13.0,0.0,-1.5,-8.5
태평양,13.0,4.5,11.0,-11.5,1.5,0.0,-7.0
해태,20.0,11.5,18.0,-4.5,8.5,7.0,0.0
