Team1_x,MBC,OB,롯데,빙그레,삼성,태평양,해태
MBC,0.0,-3.0,0.5,-14.0,-8.0,-7.5,-13.0
OB,3.0,0.0,3.5,-11.0,-5.0,-4.5,-10.0
롯데,-0.5,-3.5,0.0,-14.5,-8.5,-8.0,-13.5
빙그레,14.0,11.0,14.5,0.0,6.0,6.5,1.0
삼성,8.0,5.0,8.5,-6.0,0.0,0.5,-5.0
태평양,7.5,4.5,8.0,-6.5,-0.5,0.0,-5.5
해태,13.0,10.0,13.5,-1.0,5.0,5.5,0.0
