Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,히어로즈
KIA,0.0,8.0,-20.0,-10.0,-7.0,-3.0,-7.0,2.0
LG,-8.0,0.0,-28.0,-18.0,-15.0,-11.0,-15.0,-6.0
SK,20.0,28.0,0.0,10.0,13.0,17.0,13.0,22.0
두산,10.0,18.0,-10.0,0.0,3.0,7.0,3.0,12.0
롯데,7.0,15.0,-13.0,-3.0,0.0,4.0,0.0,9.0
삼성,3.0,11.0,-17.0,-7.0,-4.0,0.0,-4.0,5.0
한화,7.0,15.0,-13.0,-3.0,0.0,4.0,0.0,9.0
히어로즈,-2.0,6.0,-22.0,-12.0,-9.0,-5.0,-9.0,0.0
