Team1_x,KIA,LG,NC,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,-2.0,10.5,4.5,-2.5,1.0,-2.0,-6.0,14.5
LG,2.0,0.0,12.5,6.5,-0.5,3.0,0.0,-4.0,16.5
NC,-10.5,-12.5,0.0,-6.0,-13.0,-9.5,-12.5,-16.5,4.0
SK,-4.5,-6.5,6.0,0.0,-7.0,-3.5,-6.5,-10.5,10.0
넥센,2.5,0.5,13.0,7.0,0.0,3.5,0.5,-3.5,17.0
두산,-1.0,-3.0,9.5,3.5,-3.5,0.0,-3.0,-7.0,13.5
롯데,2.0,0.0,12.5,6.5,-0.5,3.0,0.0,-4.0,16.5
삼성,6.0,4.0,16.5,10.5,3.5,7.0,4.0,0.0,20.5
한화,-14.5,-16.5,-4.0,-10.0,-17.0,-13.5,-16.5,-20.5,0.0
