Team1_x,LG,OB,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,5.0,8.0,-2.0,2.5,2.5,3.5,-12.5
OB,-5.0,0.0,3.0,-7.0,-2.5,-2.5,-1.5,-17.5
롯데,-8.0,-3.0,0.0,-10.0,-5.5,-5.5,-4.5,-20.5
삼성,2.0,7.0,10.0,0.0,4.5,4.5,5.5,-10.5
쌍방울,-2.5,2.5,5.5,-4.5,0.0,0.0,1.0,-15.0
한화,-2.5,2.5,5.5,-4.5,0.0,0.0,1.0,-15.0
해태,-3.5,1.5,4.5,-5.5,-1.0,-1.0,0.0,-16.0
현대,12.5,17.5,20.5,10.5,15.0,15.0,16.0,0.0
