Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,4.0,-16.0,-1.0,14.0,-11.5,-10.0,-0.5,-20.0,1.0
LG,-4.0,0.0,-20.0,-5.0,10.0,-15.5,-14.0,-4.5,-24.0,-3.0
NC,16.0,20.0,0.0,15.0,30.0,4.5,6.0,15.5,-4.0,17.0
SK,1.0,5.0,-15.0,0.0,15.0,-10.5,-9.0,0.5,-19.0,2.0
kt,-14.0,-10.0,-30.0,-15.0,0.0,-25.5,-24.0,-14.5,-34.0,-13.0
넥센,11.5,15.5,-4.5,10.5,25.5,0.0,1.5,11.0,-8.5,12.5
두산,10.0,14.0,-6.0,9.0,24.0,-1.5,0.0,9.5,-10.0,11.0
롯데,0.5,4.5,-15.5,-0.5,14.5,-11.0,-9.5,0.0,-19.5,1.5
삼성,20.0,24.0,4.0,19.0,34.0,8.5,10.0,19.5,0.0,21.0
한화,-1.0,3.0,-17.0,-2.0,13.0,-12.5,-11.0,-1.5,-21.0,0.0
