Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-0.5,-14.0,2.5,18.5,-7.0,-21.0,6.5,6.0,5.0
LG,0.5,0.0,-13.5,3.0,19.0,-6.5,-20.5,7.0,6.5,5.5
NC,14.0,13.5,0.0,16.5,32.5,7.0,-7.0,20.5,20.0,19.0
SK,-2.5,-3.0,-16.5,0.0,16.0,-9.5,-23.5,4.0,3.5,2.5
kt,-18.5,-19.0,-32.5,-16.0,0.0,-25.5,-39.5,-12.0,-12.5,-13.5
넥센,7.0,6.5,-7.0,9.5,25.5,0.0,-14.0,13.5,13.0,12.0
두산,21.0,20.5,7.0,23.5,39.5,14.0,0.0,27.5,27.0,26.0
롯데,-6.5,-7.0,-20.5,-4.0,12.0,-13.5,-27.5,0.0,-0.5,-1.5
삼성,-6.0,-6.5,-20.0,-3.5,12.5,-13.0,-27.0,0.5,0.0,-1.0
한화,-5.0,-5.5,-19.0,-2.5,13.5,-12.0,-26.0,1.5,1.0,0.0
