Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,26.0,18.0,-4.0,0.0,8.5,1.5
OB,-26.0,0.0,-8.0,-30.0,-26.0,-17.5,-24.5
롯데,-18.0,8.0,0.0,-22.0,-18.0,-9.5,-16.5
빙그레,4.0,30.0,22.0,0.0,4.0,12.5,5.5
삼성,0.0,26.0,18.0,-4.0,0.0,8.5,1.5
태평양,-8.5,17.5,9.5,-12.5,-8.5,0.0,-7.0
해태,-1.5,24.5,16.5,-5.5,-1.5,7.0,0.0
