Team1_x,LG,두산,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-5.0,-7.0,-3.0,15.5,3.0,2.0,-1.5
두산,5.0,0.0,-2.0,2.0,20.5,8.0,7.0,3.5
롯데,7.0,2.0,0.0,4.0,22.5,10.0,9.0,5.5
삼성,3.0,-2.0,-4.0,0.0,18.5,6.0,5.0,1.5
쌍방울,-15.5,-20.5,-22.5,-18.5,0.0,-12.5,-13.5,-17.0
한화,-3.0,-8.0,-10.0,-6.0,12.5,0.0,-1.0,-4.5
해태,-2.0,-7.0,-9.0,-5.0,13.5,1.0,0.0,-3.5
현대,1.5,-3.5,-5.5,-1.5,17.0,4.5,3.5,0.0
