Team1_x,LG,두산,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-13.5,-13.5,-10.0,29.0,-9.0,-0.5,-7.5
두산,13.5,0.0,0.0,3.5,42.5,4.5,13.0,6.0
롯데,13.5,0.0,0.0,3.5,42.5,4.5,13.0,6.0
삼성,10.0,-3.5,-3.5,0.0,39.0,1.0,9.5,2.5
쌍방울,-29.0,-42.5,-42.5,-39.0,0.0,-38.0,-29.5,-36.5
한화,9.0,-4.5,-4.5,-1.0,38.0,0.0,8.5,1.5
해태,0.5,-13.0,-13.0,-9.5,29.5,-8.5,0.0,-7.0
현대,7.5,-6.0,-6.0,-2.5,36.5,-1.5,7.0,0.0
