Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.0,-11.5,0.5,9.5,-8.0,-14.0,2.5,5.0,3.0
LG,-1.0,0.0,-12.5,-0.5,8.5,-9.0,-15.0,1.5,4.0,2.0
NC,11.5,12.5,0.0,12.0,21.0,3.5,-2.5,14.0,16.5,14.5
SK,-0.5,0.5,-12.0,0.0,9.0,-8.5,-14.5,2.0,4.5,2.5
kt,-9.5,-8.5,-21.0,-9.0,0.0,-17.5,-23.5,-7.0,-4.5,-6.5
넥센,8.0,9.0,-3.5,8.5,17.5,0.0,-6.0,10.5,13.0,11.0
두산,14.0,15.0,2.5,14.5,23.5,6.0,0.0,16.5,19.0,17.0
롯데,-2.5,-1.5,-14.0,-2.0,7.0,-10.5,-16.5,0.0,2.5,0.5
삼성,-5.0,-4.0,-16.5,-4.5,4.5,-13.0,-19.0,-2.5,0.0,-2.0
한화,-3.0,-2.0,-14.5,-2.5,6.5,-11.0,-17.0,-0.5,2.0,0.0
