Team1_x,LG,OB,롯데,삼성,쌍방울,태평양,한화,해태
LG,0.0,-0.5,4.5,10.0,26.5,21.5,16.0,11.0
OB,0.5,0.0,5.0,10.5,27.0,22.0,16.5,11.5
롯데,-4.5,-5.0,0.0,5.5,22.0,17.0,11.5,6.5
삼성,-10.0,-10.5,-5.5,0.0,16.5,11.5,6.0,1.0
쌍방울,-26.5,-27.0,-22.0,-16.5,0.0,-5.0,-10.5,-15.5
태평양,-21.5,-22.0,-17.0,-11.5,5.0,0.0,-5.5,-10.5
한화,-16.0,-16.5,-11.5,-6.0,10.5,5.5,0.0,-5.0
해태,-11.0,-11.5,-6.5,-1.0,15.5,10.5,5.0,0.0
