Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-3.0,-15.0,-2.5,-0.5,-6.0,-17.0,-2.5,-2.5,0.0
LG,3.0,0.0,-12.0,0.5,2.5,-3.0,-14.0,0.5,0.5,3.0
NC,15.0,12.0,0.0,12.5,14.5,9.0,-2.0,12.5,12.5,15.0
SK,2.5,-0.5,-12.5,0.0,2.0,-3.5,-14.5,0.0,0.0,2.5
kt,0.5,-2.5,-14.5,-2.0,0.0,-5.5,-16.5,-2.0,-2.0,0.5
넥센,6.0,3.0,-9.0,3.5,5.5,0.0,-11.0,3.5,3.5,6.0
두산,17.0,14.0,2.0,14.5,16.5,11.0,0.0,14.5,14.5,17.0
롯데,2.5,-0.5,-12.5,0.0,2.0,-3.5,-14.5,0.0,0.0,2.5
삼성,2.5,-0.5,-12.5,0.0,2.0,-3.5,-14.5,0.0,0.0,2.5
한화,0.0,-3.0,-15.0,-2.5,-0.5,-6.0,-17.0,-2.5,-2.5,0.0
