Team1_x,LG,OB,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-5.5,-3.0,-4.0,-4.5,-2.5,-3.5,-9.0
OB,5.5,0.0,2.5,1.5,1.0,3.0,2.0,-3.5
롯데,3.0,-2.5,0.0,-1.0,-1.5,0.5,-0.5,-6.0
삼성,4.0,-1.5,1.0,0.0,-0.5,1.5,0.5,-5.0
쌍방울,4.5,-1.0,1.5,0.5,0.0,2.0,1.0,-4.5
한화,2.5,-3.0,-0.5,-1.5,-2.0,0.0,-1.0,-6.5
해태,3.5,-2.0,0.5,-0.5,-1.0,1.0,0.0,-5.5
현대,9.0,3.5,6.0,5.0,4.5,6.5,5.5,0.0
