Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.0,-18.5,-3.0,14.5,-11.5,-12.0,0.5,-21.0,-1.0
LG,-2.0,0.0,-20.5,-5.0,12.5,-13.5,-14.0,-1.5,-23.0,-3.0
NC,18.5,20.5,0.0,15.5,33.0,7.0,6.5,19.0,-2.5,17.5
SK,3.0,5.0,-15.5,0.0,17.5,-8.5,-9.0,3.5,-18.0,2.0
kt,-14.5,-12.5,-33.0,-17.5,0.0,-26.0,-26.5,-14.0,-35.5,-15.5
넥센,11.5,13.5,-7.0,8.5,26.0,0.0,-0.5,12.0,-9.5,10.5
두산,12.0,14.0,-6.5,9.0,26.5,0.5,0.0,12.5,-9.0,11.0
롯데,-0.5,1.5,-19.0,-3.5,14.0,-12.0,-12.5,0.0,-21.5,-1.5
삼성,21.0,23.0,2.5,18.0,35.5,9.5,9.0,21.5,0.0,20.0
한화,1.0,3.0,-17.5,-2.0,15.5,-10.5,-11.0,1.5,-20.0,0.0
