Team1_x,LG,SK,두산,롯데,삼성,한화,해태,현대
LG,0.0,21.0,-8.5,-1.5,-8.0,11.0,6.5,-22.5
SK,-21.0,0.0,-29.5,-22.5,-29.0,-10.0,-14.5,-43.5
두산,8.5,29.5,0.0,7.0,0.5,19.5,15.0,-14.0
롯데,1.5,22.5,-7.0,0.0,-6.5,12.5,8.0,-21.0
삼성,8.0,29.0,-0.5,6.5,0.0,19.0,14.5,-14.5
한화,-11.0,10.0,-19.5,-12.5,-19.0,0.0,-4.5,-33.5
해태,-6.5,14.5,-15.0,-8.0,-14.5,4.5,0.0,-29.0
현대,22.5,43.5,14.0,21.0,14.5,33.5,29.0,0.0
