Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.0,-12.5,0.5,12.5,-9.0,-18.0,4.5,6.0,4.0
LG,-1.0,0.0,-13.5,-0.5,11.5,-10.0,-19.0,3.5,5.0,3.0
NC,12.5,13.5,0.0,13.0,25.0,3.5,-5.5,17.0,18.5,16.5
SK,-0.5,0.5,-13.0,0.0,12.0,-9.5,-18.5,4.0,5.5,3.5
kt,-12.5,-11.5,-25.0,-12.0,0.0,-21.5,-30.5,-8.0,-6.5,-8.5
넥센,9.0,10.0,-3.5,9.5,21.5,0.0,-9.0,13.5,15.0,13.0
두산,18.0,19.0,5.5,18.5,30.5,9.0,0.0,22.5,24.0,22.0
롯데,-4.5,-3.5,-17.0,-4.0,8.0,-13.5,-22.5,0.0,1.5,-0.5
삼성,-6.0,-5.0,-18.5,-5.5,6.5,-15.0,-24.0,-1.5,0.0,-2.0
한화,-4.0,-3.0,-16.5,-3.5,8.5,-13.0,-22.0,0.5,2.0,0.0
