Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,히어로즈
KIA,0.0,5.0,-14.0,-6.0,-5.0,-3.0,-4.0,6.0
LG,-5.0,0.0,-19.0,-11.0,-10.0,-8.0,-9.0,1.0
SK,14.0,19.0,0.0,8.0,9.0,11.0,10.0,20.0
두산,6.0,11.0,-8.0,0.0,1.0,3.0,2.0,12.0
롯데,5.0,10.0,-9.0,-1.0,0.0,2.0,1.0,11.0
삼성,3.0,8.0,-11.0,-3.0,-2.0,0.0,-1.0,9.0
한화,4.0,9.0,-10.0,-2.0,-1.0,1.0,0.0,10.0
히어로즈,-6.0,-1.0,-20.0,-12.0,-11.0,-9.0,-10.0,0.0
