Team1_x,LG,OB,롯데,삼성,쌍방울,태평양,한화,해태
LG,0.0,13.5,11.5,9.5,21.0,6.0,4.5,7.0
OB,-13.5,0.0,-2.0,-4.0,7.5,-7.5,-9.0,-6.5
롯데,-11.5,2.0,0.0,-2.0,9.5,-5.5,-7.0,-4.5
삼성,-9.5,4.0,2.0,0.0,11.5,-3.5,-5.0,-2.5
쌍방울,-21.0,-7.5,-9.5,-11.5,0.0,-15.0,-16.5,-14.0
태평양,-6.0,7.5,5.5,3.5,15.0,0.0,-1.5,1.0
한화,-4.5,9.0,7.0,5.0,16.5,1.5,0.0,2.5
해태,-7.0,6.5,4.5,2.5,14.0,-1.0,-2.5,0.0
