Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.5,-8.5,-3.5,13.0,-6.5,-8.0,0.0,-10.0,-4.0
LG,-1.5,0.0,-10.0,-5.0,11.5,-8.0,-9.5,-1.5,-11.5,-5.5
NC,8.5,10.0,0.0,5.0,21.5,2.0,0.5,8.5,-1.5,4.5
SK,3.5,5.0,-5.0,0.0,16.5,-3.0,-4.5,3.5,-6.5,-0.5
kt,-13.0,-11.5,-21.5,-16.5,0.0,-19.5,-21.0,-13.0,-23.0,-17.0
넥센,6.5,8.0,-2.0,3.0,19.5,0.0,-1.5,6.5,-3.5,2.5
두산,8.0,9.5,-0.5,4.5,21.0,1.5,0.0,8.0,-2.0,4.0
롯데,0.0,1.5,-8.5,-3.5,13.0,-6.5,-8.0,0.0,-10.0,-4.0
삼성,10.0,11.5,1.5,6.5,23.0,3.5,2.0,10.0,0.0,6.0
한화,4.0,5.5,-4.5,0.5,17.0,-2.5,-4.0,4.0,-6.0,0.0
