Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,히어로즈
KIA,0.0,1.0,-12.0,-8.0,-6.0,-4.0,-4.0,1.0
LG,-1.0,0.0,-13.0,-9.0,-7.0,-5.0,-5.0,0.0
SK,12.0,13.0,0.0,4.0,6.0,8.0,8.0,13.0
두산,8.0,9.0,-4.0,0.0,2.0,4.0,4.0,9.0
롯데,6.0,7.0,-6.0,-2.0,0.0,2.0,2.0,7.0
삼성,4.0,5.0,-8.0,-4.0,-2.0,0.0,0.0,5.0
한화,4.0,5.0,-8.0,-4.0,-2.0,0.0,0.0,5.0
히어로즈,-1.0,0.0,-13.0,-9.0,-7.0,-5.0,-5.0,0.0
