Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.5,-8.0,-2.0,13.0,-6.5,-9.0,2.0,-10.0,-4.0
LG,-2.5,0.0,-10.5,-4.5,10.5,-9.0,-11.5,-0.5,-12.5,-6.5
NC,8.0,10.5,0.0,6.0,21.0,1.5,-1.0,10.0,-2.0,4.0
SK,2.0,4.5,-6.0,0.0,15.0,-4.5,-7.0,4.0,-8.0,-2.0
kt,-13.0,-10.5,-21.0,-15.0,0.0,-19.5,-22.0,-11.0,-23.0,-17.0
넥센,6.5,9.0,-1.5,4.5,19.5,0.0,-2.5,8.5,-3.5,2.5
두산,9.0,11.5,1.0,7.0,22.0,2.5,0.0,11.0,-1.0,5.0
롯데,-2.0,0.5,-10.0,-4.0,11.0,-8.5,-11.0,0.0,-12.0,-6.0
삼성,10.0,12.5,2.0,8.0,23.0,3.5,1.0,12.0,0.0,6.0
한화,4.0,6.5,-4.0,2.0,17.0,-2.5,-5.0,6.0,-6.0,0.0
