Team1_x,LG,SK,두산,롯데,삼성,한화,해태,현대
LG,0.0,12.5,-5.5,2.5,-0.5,8.5,5.0,-10.5
SK,-12.5,0.0,-18.0,-10.0,-13.0,-4.0,-7.5,-23.0
두산,5.5,18.0,0.0,8.0,5.0,14.0,10.5,-5.0
롯데,-2.5,10.0,-8.0,0.0,-3.0,6.0,2.5,-13.0
삼성,0.5,13.0,-5.0,3.0,0.0,9.0,5.5,-10.0
한화,-8.5,4.0,-14.0,-6.0,-9.0,0.0,-3.5,-19.0
해태,-5.0,7.5,-10.5,-2.5,-5.5,3.5,0.0,-15.5
현대,10.5,23.0,5.0,13.0,10.0,19.0,15.5,0.0
